tutkintokerta,koulun_nro,koulun_nimi,opetuskieli,tyyppi,sukup,yht,A,O,Z,I,W,Q,A5,O5,M,N,BI,FF,FY,HI,PS,UE,UO,ET,GE,KE,TE,YH,BA,BB,CA,CB,EA,FA,SA,PA,VA,EC,FC,SC,PC,VC,DC,IC,QC,GC,TC,L1,L7,opintotausta
2022K,1488,Vieremän lukio,FI,,2,18,3,,,,,,,,,,,,,,4,,,,,,5,,,4,,,2,,,,,,,,,,,,,,,,,1
2022K,1488,Vieremän lukio,FI,,2,36,6,,,,,,,,,5,5,,,,5,,,,,,6,,,5,,,4,,,,,,,,,,,,,,,,,1
2022K,1488,Vieremän lukio,FI,,1,29,7,,,,,,,,6,,5,,5,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,1
2022K,1488,Vieremän lukio,FI,,1,31,6,,,,,,,,4,,5,,4,,,,,,,,6,,,,,,6,,,,,,,,,,,,,,,,,1
2022K,1488,Vieremän lukio,FI,,2,25,4,,,,,,,,,3,4,,,5,,,,,,,3,,,,,,6,,,,,,,,,,,,,,,,,1
2022K,1488,Vieremän lukio,FI,,1,12,,,,,,,3,,,3,,,,,2,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,1
2022K,1488,Vieremän lukio,FI,,2,24,6,,,,,,,,,,,,,,4,,,,,,5,,,3,,,6,,,,,,,,,,,,,,,,,1
2022K,1488,Vieremän lukio,FI,,2,19,4,,,,,,,,,4,4,,,,,,,,,,4,,,,,,3,,,,,,,,,,,,,,,,,1
2022K,1488,Vieremän lukio,FI,,2,14,3,,,,,,,,,2,,,,,,4,,,,,,,,,,,5,,,,,,,,,,,,,,,,,1
2022K,1488,Vieremän lukio,FI,,2,18,5,,,,,,,,,,,,,,,,,,4,,3,,,3,,,3,,,,,,,,,,,,,,,,,1
2022K,1488,Vieremän lukio,FI,,2,31,7,,,,,,,,5,,5,,,6,,,,,4,,,,,4,,,,,,,,,,,,,,,,,,,,1
2022K,1488,Vieremän lukio,FI,,2,15,3,,,,,,,,,3,,,,,2,,,,,,3,,,,,,4,,,,,,,,,,,,,,,,,1
2022K,1488,Vieremän lukio,FI,,1,19,2,,,,,,,,4,,4,,3,,,,,,,3,,,,,,,3,,,,,,,,,,,,,,,,,1
2022K,1488,Vieremän lukio,FI,,2,17,5,,,,,,,,,,,,,,,,,,,,3,,,5,,,4,,,,,,,,,,,,,,,,,1
2022K,1488,Vieremän lukio,FI,,1,13,3,,,,,,,,,,,,,3,,2,,,,,,3,,0,,,2,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,22,5,,,,,,,,,4,,,,5,,,,,,,,4,,,,,4,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,26,6,,,,,,,,5,,,,5,,,,,,,,,,,4,,,6,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,31,6,,,,,,,,,6,,,,,,,,,,,,,6,,,,7,,,,,,6,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,40,7,,,,,,,,,5,,,,,,,,,6,,,5,,6,,,5,,,,,,,6,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,32,6,,,,,,,,6,,,,5,5,,,,,,,,5,,,,,5,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,16,,,,,,,5,,,3,2,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,25,5,,,,,,,,,5,,,,,4,5,,,,,,,,,,,6,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,20,4,,,,,,,,,,,,,,,,,,,,4,4,,4,,,4,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,16,2,,,,,,,,,,,,,2,,3,,,,,,,,4,,,5,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,28,7,,,,,,,,,7,4,,,,6,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,16,3,,,,,,,,,3,,,,,,,,,,,4,4,,,,,2,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,43,6,,,,,,,,,7,,,,7,7,6,,,,,,6,,,,,4,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,27,5,,,,,,,,,4,,5,,3,,,,,,,,4,,,,,6,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,36,5,,,,,,,,,5,,,,,,,,,,,,,,7,,,7,,,,,,,6,6,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,21,5,,,,,,,,5,,5,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,19,5,,,,,,,,,4,,,,,3,,,,4,,,,,,,,3,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,26,,,,,,,4,,6,,,,5,,,,,,,4,,,,,,,,,,,7,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,14,3,,,,,,,,,3,,,,,3,,,,2,,,,,,,,3,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,26,4,,,,,,,,,3,,6,,,,,,,,,5,,,,,,3,,,,,,,5,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,35,6,,,,,,,,,6,6,,6,,,,,,6,,,,,,,,5,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,18,3,,,,,,,,,,,,,,,4,,,,,4,,,4,,,3,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,21,4,,,,,,,,,4,,,,4,,,,,,,,5,,,,,4,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,19,3,,,,,,,,,4,4,,3,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,28,3,,,,,,,,5,,,,,,,,,,6,,,4,,,,,5,,,,,,,5,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,16,3,,,,,,,,3,,,,2,2,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,28,5,,,,,,,,6,,,,6,,,,,,,5,,,,,,,6,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,20,5,,,,,,,,,3,,,,4,5,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,22,4,,,,,,,,,4,,,,,,,,,4,,,,,6,,,4,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,23,4,,,,,,,,4,,,,,,4,,,,,,6,,,,,,5,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,14,3,,,,,,,,4,,,,4,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,27,,,,,,,6,,5,,,,4,5,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,33,,,,,,,7,,,6,4,,5,,,,,,,,,,,5,,,6,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,42,7,,,,,,,,7,,7,,7,,,,,,,7,,,,7,,,,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,15,3,,,,,,,,,3,,,,3,,3,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,18,2,,,,,,,,4,,,,,,,,,,,3,,,,,,,6,,,,,,3,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,24,5,,,,,,,,,5,,,,4,,,,,,,4,,,,,,6,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,24,,,,,,,6,,,3,5,,,,,,,,,,5,,,,,,5,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,23,5,,,,,,,,5,,,,4,,,,,,,,,,,3,,,6,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,22,4,,,,,,,,3,,2,,,,,,,,,2,,,5,,,,6,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,11,2,,,,,,,,,,,,,,,,,,,,4,,,2,,,3,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,27,4,,,,,,,,,5,,,,,4,,,,,,,3,6,,,,5,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,23,3,,,,,,,,,5,,,,,6,,,,,,5,,,,,,4,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,32,7,,,,,,,,5,,,,,,,7,,,,,,,7,,,,6,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,24,5,,,,,,,,,,,,,5,,,,,,,,6,,3,,,5,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,22,5,,,,,,,,3,,6,,3,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,29,6,,,,,,,,,5,,,,,5,,,,,,,,,7,,,6,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,32,6,,,,,,,,4,,5,,,,,,,,,4,,,,7,,,6,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,16,,,,,,,5,,,3,,,,,,,,,,,,,,4,,,4,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,22,3,,,,,,,,,4,,,,,5,,,,4,,,,,3,,,3,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,30,4,,,,,,,,,6,6,,,,,4,,,,,,,6,,,,4,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,18,2,,,,,,,,,,,,,,,3,,,,,,3,,5,,,5,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,25,6,,,,,,,,5,,5,,,,,,,,,5,,,,,,,,4,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,32,5,,,,,,,,,6,,,3,6,,,,,,,6,,,,,,6,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,24,2,,,,,,,,6,,,,6,,,,,,,,,4,,,,,6,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,34,6,,,,,,,,3,,6,,,,6,,,,,,,,,6,,,7,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,16,3,,,,,,,,3,,,,3,,,,,,,4,,,,,,,3,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,21,3,,,,,,,,,5,,,,4,,,,,,4,,,,,,,5,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,20,4,,,,,,,,2,,4,,2,,,,,,,,4,,,,,,4,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,23,3,,,,,,,,,4,4,,,,2,,,,,,6,,,,,,4,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,27,6,,,,,,,,,5,,,,6,,,,,,,,5,,,,,5,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,25,6,,,,,,,,5,,5,,,5,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,19,4,,,,,,,,,4,,,,,3,,,,4,,,,,,,,4,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,30,6,,,,,,,,6,,,,6,,,,,,,,,,,6,,,6,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,27,3,,,,,,,,,6,,,,4,,5,,,,,,5,,,,,4,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,17,4,,,,,,,,,,,,,,,,,,,,4,,,5,,,4,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,28,5,,,,,,,,,5,5,,,7,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,27,4,,,,,,,,,5,5,,,,3,,,,4,,,,,,,,6,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,19,,,,,,,5,,2,,4,,4,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,26,6,,,,,,,,,,,,,,4,,,,,,,5,5,,,,6,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,26,4,,,,,,,,6,,6,,,,,,,,,4,,,,,,,6,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,32,6,,,,,,,,,4,6,,,,,,,,5,,,,,6,,,5,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,26,4,,,,,,,,4,,,,,,4,,,,,,4,,,,,,6,,,,,,,4,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,30,,,,,,,7,,5,,,6,,,5,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,25,4,,,,,,,,7,,,,7,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,21,4,,,,,,,,,5,,,,4,,3,,,,,,,,,,,5,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,38,6,,,,,,,,,6,,,6,6,,,,,7,,,,,,,,7,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,30,6,,,,,,,,,,,,,,,7,,,,,,6,,7,,,4,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,29,,,,,,,6,,,6,,,,4,6,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,15,2,,,,,,,,,3,3,,,,,,,,,3,,,,,,,4,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,31,5,,,,,,,,,5,,,4,,,,,,,,,5,,6,,,6,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,16,4,,,,,,,,,3,,,,,,,,,,,3,,,3,,,3,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,36,5,,,,,,,,,6,6,,,,6,,,,,,,,,7,,,6,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,23,5,,,,,,,,,4,,,,4,,,,,,,,5,3,,,,2,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,31,5,,,,,,,,,4,6,,,,4,,,,,,,,,7,,,5,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,33,6,,,,,,,,7,,,,7,,,,,,,6,,,,,,,7,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,32,5,,,,,,,,,6,,,,,,,,,4,,,,,6,,,5,,,,,,,,6,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,16,2,,,,,,,,,3,3,,,3,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,25,3,,,,,,,,,4,5,,,,,,,,,,,,,,,,6,,7,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,33,6,,,,,,,,,4,,,,7,4,,,,,,,5,,,,,5,,,,,,,2,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,22,,,,,,,7,,5,,,,4,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,26,4,,,,,,,,,6,,,,,,,,,,,,,,6,,,5,,,,,,5,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,15,3,,,,,,,,,4,,,,,2,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,24,6,,,,,,,,,4,,,,,,,,,,,4,,,5,,,5,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,27,4,,,,,,,,,6,,,6,,,,,,5,,,,,,,,6,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,14,2,,,,,,,,3,,4,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,33,6,,,,,,,,,6,4,,,,,,,,,,,,,6,,,6,,5,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,34,5,,,,,,,,,5,,5,,,,,,,,,6,,,,,,6,,,7,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,32,6,,,,,,,,4,,6,,,,6,,,,,,,,,5,,,5,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,25,4,,,,,,,,,5,,,,5,5,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,34,6,,,,,,,,,6,,,,,,5,,,,,,5,,,,,6,,,,,,,6,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,32,3,,,,,,,,6,,,,6,5,,,,,,5,,,,,,,7,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,27,5,,,,,,,,,4,,,,,4,5,,,,,6,,,,,,3,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,32,7,,,,,,,,,6,,,,6,,7,,,,,,,,,,,6,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,29,5,,,,,,,,4,,,,3,,,,,,6,,,,,5,,,6,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,21,3,,,,,,,,,4,4,,,,4,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,22,4,,,,,,,,,5,,,,4,,4,,,,,,,,,,,5,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,19,3,,,,,,,,,3,3,,3,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,35,3,,,,,,,,5,,5,,6,,4,,,,,6,,,,,,,6,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,28,3,,,,,,,,7,,,,6,,,,,,,6,,,,,,,6,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,16,7,,,,,,,,,3,3,,,,,,,,,,,,,3,,,,0,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,33,6,,,,,,,,,6,,,,4,3,,,,,3,,4,,,,,7,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,29,6,,,,,,,,5,,,,,,,,,,6,,,,,,,,6,,,,,,,6,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,40,7,,,,,,,,6,,,,7,,,,,,,,,,7,,,,6,,7,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,21,4,,,,,,,,,4,,,,5,,,,,,,,5,,,,,3,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,33,,,,,,,6,,5,,5,,4,,,,,,,6,,,,,,,,,,,7,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,26,4,,,,,,,,5,,4,,4,,,,,,,,,,,5,,,4,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,26,4,,,,,,,,,6,,,,5,,,,,,,,4,,,,,7,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,27,5,,,,,,,,5,,,,5,6,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,25,4,,,,,,,,,6,7,,4,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,27,6,,,,,,,,,4,5,,,,,,,,,,,,,,,,7,,5,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,20,4,,,,,,,,,4,,,,3,,,,,,,,,,3,,,6,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,23,4,,,,,,,,5,,,,,,,5,,,,,,6,,,,,3,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,37,6,,,,,,,,,7,,,,6,,,,,,,,5,,6,,,7,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,31,5,,,,,,,,,5,5,,,5,,,,,,,,,,6,,,5,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,24,5,,,,,,,,,7,,,,,,,,,,,,3,,5,,,4,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,28,5,,,,,,,,,7,7,,,,,,,,,5,,,,,,,4,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,21,2,,,,,,,,4,,,,5,,,,,,4,,,,,,,,6,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,16,3,,,,,,,,4,,,,,,,,,,5,,,,,,,,,,,,,4,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,18,4,,,,,,,,4,,,,,4,,3,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,30,6,,,,,,,,6,,,,6,,,,,,,6,,,,,,,6,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,33,6,,,,,,,,6,,,7,,,,,,,,,,,,7,,,7,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,14,3,,,,,,,,3,,,,3,,2,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,37,7,,,,,,,,7,,,,7,,,,,,,6,,,,5,,,5,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,17,3,,,,,,,,,0,,,,4,,3,,,3,,,,,,,,4,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,14,3,,,,,,,,,3,,,,,3,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,24,4,,,,,,,,5,,,,,,3,,,,,,,5,,4,,,3,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,30,,,,,,,3,,5,,7,,,,,,,,,4,,,,,,,4,,,,,,,,,,,,,,7,,,1
2022K,1093,Espoonlahden lukio,FI,,2,35,6,,,,,,,,5,,6,,,,,,,,,6,,,,7,,,5,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,22,4,,,,,,,,3,,3,,,,,,,,,2,,,4,,,,6,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,30,6,,,,,,,,,5,,,,,4,5,,,,,,,,,,,5,,,,,,,,,5,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,15,,,,,,,5,,,4,,,,,,,,,2,,,,,,,,4,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,24,4,,,,,,,,,5,,,,4,,5,,,,,,,,,,,6,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,27,4,,,,,,,,,2,5,,,,6,,,,,,7,,,,,,3,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,23,4,,,,,,,,,4,2,,,,4,,,,,,5,,,,,,4,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,26,3,,,,,,,,,7,,,,5,,3,,,,,,4,,,,,4,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,17,4,,,,,,,,3,,,,,,,,,,,,,,,3,,,4,,,,,,,3,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,18,2,,,,,,,,,,2,,,,,,,,,,4,,,6,,,4,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,21,3,,,,,,,,,3,3,,4,,,,,,4,,,,,,,,4,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,15,3,,,,,,,,,3,3,,2,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,30,4,,,,,,,,,4,,,,5,,5,,,,,,,,6,,,6,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,25,4,,,,,,,,,,4,,,,5,,,,,,,,,6,,,6,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,16,3,,,,,,,,3,,,,,2,,,,,,,,3,,,,,,,,,,5,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,24,,,,,,,6,,,7,,,5,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,19,2,,,,,,,,,4,,,,,4,,,,,,,,,5,,,4,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,22,2,,,,,,,,5,,,,3,,5,,,,,3,,,,,,,4,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,22,5,,,,,,,,4,,,,3,,,,,,6,,,,,,,,4,,,,,,,,,,,,,,,,,1
2022K,2033,Mattlidens gymnasium,SV,,1,28,,4,,,,,,,3,,,,,6,,,,,,,,6,,,4,,5,,,,,,,,,,,,,,,,,1
2022K,2033,Mattlidens gymnasium,SV,,2,29,,3,,,,,,,,3,,,,,4,,,,,,,,,,7,,6,,,,,,,,6,,,,,,,,,1
2022K,2033,Mattlidens gymnasium,SV,,1,23,,3,,,,,,,,3,,,,,,,,,,,,6,,,,5,6,,,,,,,,,,,,,,,,,1
2022K,2033,Mattlidens gymnasium,SV,,1,29,,3,,,,,,,,5,,,,4,,,,,,,,6,,,6,,5,,,,,,,,,,,,,,,,,1
2022K,2033,Mattlidens gymnasium,SV,,2,24,,4,,,,,,,4,,4,,,,,,,,,4,,,,,,4,4,,,,,,,,,,,,,,,,,1
2022K,2033,Mattlidens gymnasium,SV,,1,17,,2,,,,,,,,5,,,,,3,,,,,,,,,,4,,3,,,,,,,,,,,,,,,,,1
2022K,2033,Mattlidens gymnasium,SV,,2,33,,4,,,,,,,5,,,,,,5,5,,,,,,,,,4,,6,,,,,,,4,,,,,,,,,,1
2022K,2033,Mattlidens gymnasium,SV,,1,25,,3,,,,,,,,5,,,,4,,,,,,,,6,,,3,,4,,,,,,,,,,,,,,,,,1
2022K,2033,Mattlidens gymnasium,SV,,1,23,,5,,,,,,,4,,,,4,,,,,,,,,,,,4,,6,,,,,,,,,,,,,,,,,1
2022K,2033,Mattlidens gymnasium,SV,,1,30,,5,,,,,,,,3,,,,5,,,,,,,,6,,,5,,6,,,,,,,,,,,,,,,,,1
